+15:51:00,14 Manager: Started Logging
+21:01:45,34 Manager: Started Logging
+21:02:03,73 Manager: Shutting Down
+13:29:57,66 Manager: Started Logging
+13:30:01,95 Manager: Shutting Down
+17:55:09,83 Manager: Started Logging
+17:55:12,27 Manager: Shutting Down
+14:32:30,39 Manager: Started Logging
+14:34:19,60 Manager: Shutting Down
+19:47:58,66 Manager: Started Logging
+19:47:59,54 Manager: Shutting Down
+19:51:49,28 Manager: Started Logging
+19:51:50,60 Manager: Shutting Down
+19:51:59,49 Manager: Started Logging
+19:52:00,58 Manager: Shutting Down
+20:15:42,43 Manager: Started Logging
+20:15:56,54 Manager: Shutting Down
+15:04:31,23 Manager: Started Logging
+15:04:34,40 Manager: Shutting Down
+23:54:45,59 Manager: Started Logging
+23:54:47,45 Manager: Shutting Down
+21:57:26,36 Manager: Started Logging
+21:59:00,34 Manager: Shutting Down
+16:15:08,66 Manager: Started Logging
+16:15:10,39 Manager: Shutting Down
+13:29:35,25 Manager: Started Logging
+13:29:37,66 Manager: Shutting Down
+23:31:36,55 Manager: Started Logging
+23:31:38,40 Manager: Shutting Down
